;MB012;MB024;MB012_P;MB024_P;Sum_Einkauf;GENDERTYPEID;seg_kgm;score_kgm;alter_kl;ealter;synergie;syn012;old;sum
20813;1;1;1.0;1.0;1977.47;2.0;2.0;82.69;75+       ;75+       ;38;6;1.0;1591933.63
20814;1;1;1.0;1.0;4576.83;1.0;3.0;67.5;75+       ;75+       ;3;0;1.0;1591933.63
20815;1;1;1.0;1.0;325.2;1.0;4.0;55.42;75+       ;75+       ;5;0;1.0;1591933.63
20816;1;1;1.0;1.0;10677.16;2.0;1.0;100.0;75+       ;75+       ;69;3;1.0;1591933.63
20817;1;1;1.0;1.0;2096.08;1.0;3.0;65.76;75+       ;75+       ;6;2;1.0;1591933.63
20818;1;1;1.0;1.0;2028.8;1.0;4.0;58.41;75+       ;75+       ;2;0;1.0;1591933.63
20819;1;1;1.0;1.0;7812.53;1.0;2.0;81.05;75+       ;75+       ;19;1;1.0;1591933.63
20820;1;1;1.0;1.0;4736.83;2.0;3.0;72.05;75+       ;75+       ;8;0;1.0;1591933.63
20821;1;1;1.0;1.0;3104.39;2.0;2.0;87.44;75+       ;75+       ;1;2;1.0;1591933.63
20822;1;1;1.0;1.0;1708.84;2.0;4.0;59.58;90-95     ;75+       ;2;1;1.0;1591933.63
20823;1;1;1.0;1.0;1811.99;1.0;2.0;90.88;75+       ;75+       ;33;2;1.0;1591933.63
20824;1;1;1.0;1.0;5646.91;1.0;3.0;75.05;90-95     ;75+       ;144;46;1.0;1591933.63
20825;1;1;1.0;1.0;988.15;1.0;4.0;62.72;75+       ;75+       ;1;0;1.0;1591933.63
20826;1;1;1.0;1.0;8837.05;1.0;4.0;62.51;75+       ;75+       ;21;1;1.0;1591933.63
20827;1;1;1.0;1.0;8647.7;1.0;4.0;57.31;75+       ;75+       ;22;0;1.0;1591933.63
20828;1;1;1.0;1.0;4269.33;1.0;4.0;51.74;75+       ;75+       ;2;0;1.0;1591933.63
20829;1;1;1.0;1.0;10283.81;1.0;4.0;55.96;75+       ;75+       ;6;1;1.0;1591933.63
20830;1;1;1.0;1.0;6997.3;1.0;2.0;87.99;90-95     ;75+       ;5;0;1.0;1591933.63
20831;1;1;1.0;1.0;5927.23;2.0;4.0;51.19;90-95     ;75+       ;5;1;1.0;1591933.63
20832;1;1;1.0;1.0;9658.19;2.0;1.0;100.0;75+       ;75+       ;4;0;1.0;1591933.63
20833;1;1;1.0;1.0;4662.66;1.0;2.0;86.32;75+       ;75+       ;6;0;1.0;1591933.63
20834;1;1;1.0;1.0;10657.68;1.0;5.0;38.43;75+       ;75+       ;14;2;1.0;1591933.63
20835;1;1;1.0;1.0;248.19;2.0;1.0;100.0;75+       ;75+       ;7;1;1.0;1591933.63
20836;1;1;1.0;1.0;9648.95;1.0;4.0;51.93;75+       ;75+       ;2;0;1.0;1591933.63
20837;1;1;1.0;1.0;2495.15;2.0;3.0;70.13;75+       ;75+       ;1;0;1.0;1591933.63
20838;1;1;1.0;1.0;1673.75;2.0;5.0;46.78;75+       ;75+       ;12;2;1.0;1591933.63
20839;1;1;1.0;1.0;3638.74;2.0;4.0;55.96;75+       ;75+       ;2;0;1.0;1591933.63
20840;1;1;1.0;1.0;2551.18;1.0;2.0;97.78;75+       ;75+       ;12;2;1.0;1591933.63
20841;1;1;1.0;1.0;8899.22;2.0;5.0;46.47;75+       ;75+       ;51;1;1.0;1591933.63
20842;1;1;1.0;1.0;8179.4;1.0;1.0;100.0;90-95     ;75+       ;10;0;1.0;1591933.63
20843;1;1;1.0;1.0;1388.69;1.0;2.0;84.77;75+       ;75+       ;12;1;1.0;1591933.63
20844;1;1;1.0;1.0;1869.17;1.0;5.0;46.36;75+       ;75+       ;78;1;1.0;1591933.63
20845;1;1;1.0;1.0;3488.12;2.0;1.0;100.0;75+       ;75+       ;12;0;1.0;1591933.63
20846;1;1;1.0;1.0;2810.91;1.0;4.0;56.0;75+       ;75+       ;20;0;1.0;1591933.63
20847;1;1;1.0;1.0;26379.86;2.0;4.0;58.71;90-95     ;75+       ;3;0;1.0;1591933.63
20848;1;1;1.0;1.0;12403.51;1.0;2.0;98.91;75+       ;75+       ;17;2;1.0;1591933.63
20849;1;1;1.0;1.0;1823.33;2.0;3.0;68.76;75+       ;75+       ;7;2;1.0;1591933.63
