;MB012;MB024;MB012_P;MB024_P;Sum_Einkauf;GENDERTYPEID;seg_kgm;score_kgm;alter_kl;ealter;synergie;syn012;old;sum
13156;1;1;1.0;1.0;3391.61;2.0;1.0;100.0;75+       ;75+       ;11;2;1.0;
13157;1;1;1.0;1.0;8502.9;2.0;2.0;86.26000213623047;75+       ;75+       ;22;0;1.0;
13158;1;1;1.0;1.0;1921.39;2.0;3.0;76.97000122070312;75+       ;75+       ;14;1;1.0;
13159;1;1;1.0;1.0;13334.7674;1.0;1.0;100.0;75+       ;75+       ;106;0;1.0;
13160;1;1;1.0;1.0;16923.94;1.0;1.0;100.0;75+       ;75+       ;33;0;1.0;
13161;1;1;1.0;1.0;8399.74;2.0;1.0;100.0;75+       ;75+       ;28;0;1.0;
13162;1;1;1.0;1.0;4450.51;2.0;4.0;62.439998626708984;75+       ;75+       ;36;5;1.0;
13163;1;1;1.0;1.0;1216.11;2.0;1.0;100.0;75+       ;75+       ;23;1;1.0;
13164;1;1;1.0;1.0;18544.77;2.0;3.0;77.0199966430664;75+       ;75+       ;16;0;1.0;
13165;1;1;1.0;1.0;4614.88;1.0;2.0;89.87999725341797;75+       ;75+       ;31;3;1.0;
13166;1;1;1.0;1.0;14026.74;1.0;3.0;63.58000183105469;75+       ;75+       ;80;4;1.0;
13167;1;1;1.0;1.0;14373.17;1.0;3.0;77.26000213623047;75+       ;75+       ;23;0;1.0;
13168;1;1;1.0;1.0;3495.25;2.0;1.0;100.0;75+       ;75+       ;80;11;1.0;
13169;1;1;1.0;1.0;2452.07;2.0;2.0;87.94000244140625;75+       ;75+       ;22;1;1.0;
13170;1;1;1.0;1.0;2261.84;2.0;2.0;88.79000091552734;75+       ;75+       ;33;0;1.0;
13171;1;1;1.0;1.0;2314.75;2.0;3.0;76.05999755859375;75+       ;75+       ;39;2;1.0;
13172;1;1;1.0;1.0;4299.09;1.0;4.0;58.58000183105469;90-95     ;75+       ;13;0;1.0;
13173;1;1;1.0;1.0;16695.01;2.0;4.0;55.7599983215332;90-95     ;75+       ;40;1;1.0;
13174;1;1;1.0;1.0;3395.9;1.0;3.0;65.5199966430664;75+       ;75+       ;35;7;1.0;
13175;1;1;1.0;1.0;4206.37;2.0;2.0;86.16000366210938;75+       ;75+       ;14;2;1.0;
